ano,playa,sitio,Intertidal.level,replicate,Chlorophyta_cob,Ochrophya_cob,Rhodophyta_cob,AlgasIncrustantes_cob
2015,Ushuaia NU,S1,high,1,0,0,62,0
2015,Ushuaia NU,S1,high,2,0,0,11,0
2015,Ushuaia NU,S1,high,3,0,0,51,0
2015,Ushuaia NU,S1,medium,1,0,0,0,0
2015,Ushuaia NU,S1,medium,2,0,0,0,0
2015,Ushuaia NU,S1,medium,3,0,0,0,0
2015,Ushuaia NU,S1,low,1,0,86,0,0
2015,Ushuaia NU,S1,low,2,0,98,3,0
2015,Ushuaia NU,S1,low,3,0,97,1,0
2015,Ushuaia NU,S2,high,1,0,0,11,0
2015,Ushuaia NU,S2,high,2,0,3,14,0
2015,Ushuaia NU,S2,high,3,0,10,82,0
2015,Ushuaia NU,S2,medium,1,0,0,0,0
2015,Ushuaia NU,S2,medium,2,0,0,0,2
2015,Ushuaia NU,S2,medium,3,0,0,0,0
2015,Ushuaia NU,S2,low,1,0,0,0,12
2015,Ushuaia NU,S2,low,2,0,117,3,0
2015,Ushuaia NU,S2,low,3,0,99,0,0
2015,Ushuaia UR,S3,high,1,2,0,12,0
2015,Ushuaia UR,S3,high,2,7,0,3,0
2015,Ushuaia UR,S3,high,3,23,0,7,0
2015,Ushuaia UR,S3,medium,1,2,34,0,0
2015,Ushuaia UR,S3,medium,2,12,1,0,0
2015,Ushuaia UR,S3,medium,3,1,0,3,0
2015,Ushuaia UR,S3,low,1,2,0,0,8
2015,Ushuaia UR,S3,low,2,0,0,0,98
2015,Ushuaia UR,S3,low,3,3,5,0,26
2015,Ushuaia UR,S4,high,1,82,0,16,0
2015,Ushuaia UR,S4,high,2,92,1,10,0
2015,Ushuaia UR,S4,high,3,11,0,3,0
2015,Ushuaia UR,S4,medium,1,6,0,5,0
2015,Ushuaia UR,S4,medium,2,15,0,3,0
2015,Ushuaia UR,S4,medium,3,70,1,10,0
2015,Ushuaia UR,S4,low,1,0,0,0,20
2015,Ushuaia UR,S4,low,2,0,0,0,21
2015,Ushuaia UR,S4,low,3,0,20,12,25
2015,Rio Grande NU,S5,high,1,0,0,0,0
2015,Rio Grande NU,S5,high,2,0,0,0,0
2015,Rio Grande NU,S5,high,3,0,0,0,0
2015,Rio Grande NU,S5,medium,1,5,44,1,0
2015,Rio Grande NU,S5,medium,2,3,83,3,1
2015,Rio Grande NU,S5,medium,3,16,25,0,0
2015,Rio Grande NU,S5,low,1,0,2,0,0
2015,Rio Grande NU,S5,low,2,0,5,0,0
2015,Rio Grande NU,S5,low,3,0,78,0,10
2015,Rio Grande NU,S6,high,1,0,0,0,0
2015,Rio Grande NU,S6,high,2,0,0,0,0
2015,Rio Grande NU,S6,high,3,0,0,0,0
2015,Rio Grande NU,S6,medium,1,0,21,0,0
2015,Rio Grande NU,S6,medium,2,0,30,0,1
2015,Rio Grande NU,S6,medium,3,0,28,1,0
2015,Rio Grande NU,S6,low,1,0,5,0,7
2015,Rio Grande NU,S6,low,2,0,0,26,0
2015,Rio Grande NU,S6,low,3,0,21,0,0
2015,Rio Grande UR,S7,high,1,6,0,0,0
2015,Rio Grande UR,S7,high,2,0,0,4,77
2015,Rio Grande UR,S7,high,3,3,1,1,90
2015,Rio Grande UR,S7,medium,1,2,23,5,0
2015,Rio Grande UR,S7,medium,2,0,3,0,1
2015,Rio Grande UR,S7,medium,3,2,20,0,20
2015,Rio Grande UR,S7,low,1,7,7,13,33
2015,Rio Grande UR,S7,low,2,0,2,0,8
2015,Rio Grande UR,S7,low,3,0,0,0,32
2015,Rio Grande UR,S8,high,1,1,2,0,0
2015,Rio Grande UR,S8,high,2,0,0,5,0
2015,Rio Grande UR,S8,high,3,15,0,0,0
2015,Rio Grande UR,S8,medium,1,3,8,1,11
2015,Rio Grande UR,S8,medium,2,0,27,0,1
2015,Rio Grande UR,S8,medium,3,2,24,1,34
2015,Rio Grande UR,S8,low,1,2,71,27,9
2015,Rio Grande UR,S8,low,2,0,79,36,2
2015,Rio Grande UR,S8,low,3,94,3,0,0
2016,Ushuaia NU,S9,high,1,0,11,0,0
2016,Ushuaia NU,S9,high,2,0,0,0,0
2016,Ushuaia NU,S9,high,3,0,34.99999999,5,5
2016,Ushuaia NU,S9,medium,1,73,2,0,0
2016,Ushuaia NU,S9,medium,2,14.99999999,10,0,0
2016,Ushuaia NU,S9,medium,3,14,14,0,0
2016,Ushuaia NU,S9,low,1,0,10,0,0
2016,Ushuaia NU,S9,low,2,1,1,0,0
2016,Ushuaia NU,S9,low,3,0,0,0,0
2016,Ushuaia NU,S10,high,1,0,1,0,0
2016,Ushuaia NU,S10,high,2,6,28,0,0
2016,Ushuaia NU,S10,high,3,13,7,0,0
2016,Ushuaia NU,S10,medium,1,3,8,0,0
2016,Ushuaia NU,S10,medium,2,0,30,0,0
2016,Ushuaia NU,S10,medium,3,6,64,0,0
2016,Ushuaia NU,S10,low,1,2,3,0,0
2016,Ushuaia NU,S10,low,2,1,2,0,0
2016,Ushuaia NU,S10,low,3,0,3,0,0
2016,Ushuaia UR,S11,high,1,9,17,0,0
2016,Ushuaia UR,S11,high,2,5,21,0,0
2016,Ushuaia UR,S11,high,3,0,21,0,0
2016,Ushuaia UR,S11,medium,1,0,0,0,0
2016,Ushuaia UR,S11,medium,2,0,0,0,0
2016,Ushuaia UR,S11,medium,3,0,0,0,0
2016,Ushuaia UR,S11,low,1,0,7,0,0
2016,Ushuaia UR,S11,low,2,3,5,0,0
2016,Ushuaia UR,S11,low,3,1,2,0,0
2016,Ushuaia UR,S12,high,1,4,36.00000001,0,0
2016,Ushuaia UR,S12,high,2,0,44.99999999,0,0
2016,Ushuaia UR,S12,high,3,18,64,0,0
2016,Ushuaia UR,S12,medium,1,1,0,0,0
2016,Ushuaia UR,S12,medium,2,12,0,0,0
2016,Ushuaia UR,S12,medium,3,0,14.99999999,0,0
2016,Ushuaia UR,S12,low,1,1,24,0,0
2016,Ushuaia UR,S12,low,2,0,72,0,0
2016,Ushuaia UR,S12,low,3,5,20,0,0
2016,Rio Grande NU,S13,high,1,0,0,0,0
2016,Rio Grande NU,S13,high,2,0,0,0,0
2016,Rio Grande NU,S13,high,3,0,0,0,0
2016,Rio Grande NU,S13,medium,1,0,26.00000001,0,0
2016,Rio Grande NU,S13,medium,2,0,28,0,0
2016,Rio Grande NU,S13,medium,3,0,39,0,0
2016,Rio Grande NU,S13,low,1,0,16.00000001,4,4
2016,Rio Grande NU,S13,low,2,2,11,12,12
2016,Rio Grande NU,S13,low,3,8,96.00000001,0,0
2016,Rio Grande NU,S14,high,1,0,1,0,0
2016,Rio Grande NU,S14,high,2,0,17,0,0
2016,Rio Grande NU,S14,high,3,0,1,0,0
2016,Rio Grande NU,S14,medium,1,0,83,0,0
2016,Rio Grande NU,S14,medium,2,0,43,1,1
2016,Rio Grande NU,S14,medium,3,0,68,0,0
2016,Rio Grande NU,S14,low,1,0,4,3,3
2016,Rio Grande NU,S14,low,2,0,8,0,0
2016,Rio Grande NU,S14,low,3,0,2,3,3
2016,Rio Grande UR,S15,high,1,0,0,0,0
2016,Rio Grande UR,S15,high,2,0,9,0,0
2016,Rio Grande UR,S15,high,3,0,11,0,0
2016,Rio Grande UR,S15,medium,1,1,14,13,13
2016,Rio Grande UR,S15,medium,2,0,61,0,0
2016,Rio Grande UR,S15,medium,3,0,6,10,10
2016,Rio Grande UR,S15,low,1,0,19,0,0
2016,Rio Grande UR,S15,low,2,0,40,0,0
2016,Rio Grande UR,S15,low,3,0,14,0,0
2016,Rio Grande UR,S16,high,1,0,2,0,0
2016,Rio Grande UR,S16,high,2,0,0,0,0
2016,Rio Grande UR,S16,high,3,0,0,1,1
2016,Rio Grande UR,S16,medium,1,0,70,0,0
2016,Rio Grande UR,S16,medium,2,0,24.99999999,2,2
2016,Rio Grande UR,S16,medium,3,0,57,0,0
2016,Rio Grande UR,S16,low,1,0,18,0,0
2016,Rio Grande UR,S16,low,2,0,9,0,0
2016,Rio Grande UR,S16,low,3,0,14.99999999,0,0
